Average and SD of comm time
Data size : 262144
Repeat time : 100
# of process: 64

ave sd min max mode
process: 0
	node group: 0
	comm time
		  46 : 0.002967	0.002976	0.000376	0.010953	0.001609
		  47 : 0.001567	0.001270	0.000372	0.006532	0.001039
		  48 : 0.002379	0.002382	0.000377	0.013179	0.001536
		  49 : 0.003005	0.003406	0.000379	0.011000	0.001235
		  50 : 0.001278	0.000812	0.000285	0.004634	0.001017
		  51 : 0.001900	0.001721	0.000323	0.007162	0.001159
		  52 : 0.002314	0.002182	0.000368	0.010281	0.001515
		  53 : 0.001727	0.001181	0.000369	0.005413	0.001346
		  54 : 0.002688	0.003062	0.000368	0.011284	0.001324
		  55 : 0.002255	0.002418	0.000384	0.011650	0.001352
		  56 : 0.002715	0.002991	0.000367	0.012657	0.001608
		  57 : 0.002294	0.002969	0.000493	0.013338	0.001348
		  58 : 0.001885	0.001346	0.000376	0.007915	0.001530
		  59 : 0.002675	0.003033	0.000620	0.010988	0.001292
		  60 : 0.002512	0.002516	0.000362	0.011025	0.001634
		  61 : 0.001483	0.001245	0.000241	0.008965	0.001155
		  62 : 0.001799	0.001922	0.000375	0.010989	0.001096
		  63 : 0.001979	0.001863	0.000370	0.012226	0.001260
process: 4
	node group: 2
	comm time
		   0 : 0.001119	0.000970	0.000282	0.005912	0.000776
		   1 : 0.000964	0.000579	0.000310	0.004107	0.000790
		   2 : 0.002116	0.002198	0.000344	0.006944	0.001027
		   3 : 0.001916	0.008454	0.000321	0.085797	0.000887
		   4 : 0.000000	0.000000	0.000000	0.000000	0.000000
		   5 : 0.000246	0.000077	0.000209	0.000648	0.000221
		   6 : 0.000263	0.000094	0.000213	0.000669	0.000225
		   7 : 0.000243	0.000066	0.000202	0.000633	0.000220
		   8 : 0.001336	0.001016	0.000407	0.006154	0.000985
		   9 : 0.000955	0.000669	0.000282	0.005219	0.000797
		  10 : 0.001088	0.000693	0.000414	0.004794	0.000850
		  11 : 0.000904	0.000481	0.000274	0.002702	0.000757
		  12 : 0.001413	0.001657	0.000239	0.007153	0.000883
		  13 : 0.001825	0.001850	0.000327	0.006881	0.000959
		  14 : 0.002054	0.008764	0.000286	0.088811	0.000903
		  15 : 0.000950	0.000599	0.000374	0.003773	0.000761
		  16 : 0.001217	0.001238	0.000386	0.006100	0.000796
		  17 : 0.001346	0.001164	0.000336	0.006069	0.000887
		  18 : 0.001403	0.001350	0.000317	0.005940	0.000895
		  19 : 0.000931	0.000456	0.000265	0.002522	0.000761
		  20 : 0.001341	0.000863	0.000366	0.004088	0.001076
		  21 : 0.001202	0.000938	0.000243	0.005801	0.000856
		  22 : 0.001046	0.000629	0.000336	0.004704	0.000838
		  23 : 0.001451	0.001370	0.000393	0.006440	0.000935
		  24 : 0.001489	0.001654	0.000344	0.007465	0.000892
		  25 : 0.001045	0.000500	0.000302	0.002364	0.000927
		  26 : 0.001601	0.001711	0.000226	0.006285	0.000895
		  27 : 0.001922	0.002186	0.000390	0.006904	0.000911
		  28 : 0.001386	0.001109	0.000246	0.005426	0.001026
		  29 : 0.001061	0.000759	0.000300	0.006445	0.000842
		  30 : 0.001078	0.000683	0.000293	0.003862	0.000825
		  31 : 0.001350	0.001428	0.000382	0.006726	0.000876
		  32 : 0.001016	0.000492	0.000321	0.002514	0.000843
		  33 : 0.002130	0.002182	0.000261	0.007554	0.000943
		  34 : 0.000926	0.000501	0.000334	0.003875	0.000815
		  35 : 0.001536	0.001436	0.000266	0.006394	0.000994
		  36 : 0.001029	0.000928	0.000252	0.006902	0.000780
		  37 : 0.001037	0.000511	0.000421	0.003089	0.000849
		  38 : 0.001026	0.000551	0.000389	0.002696	0.000822
		  39 : 0.001220	0.000791	0.000352	0.005002	0.000989
		  40 : 0.002435	0.002127	0.000329	0.010309	0.001570
		  41 : 0.001738	0.001293	0.000447	0.006621	0.001306
		  42 : 0.002422	0.002610	0.000354	0.010088	0.001228
		  43 : 0.001831	0.001758	0.000378	0.008967	0.001171
		  44 : 0.001421	0.001360	0.000244	0.009922	0.001000
		  45 : 0.002617	0.003089	0.000415	0.012873	0.001412
		  46 : 0.003726	0.003484	0.000271	0.012662	0.002525
		  47 : 0.001468	0.001503	0.000383	0.010520	0.001044
		  48 : 0.002418	0.002353	0.000498	0.011586	0.001523
		  49 : 0.002955	0.003458	0.000365	0.011021	0.001233
		  50 : 0.001179	0.000661	0.000267	0.003843	0.000992
		  51 : 0.001423	0.001190	0.000347	0.008702	0.001051
		  52 : 0.002422	0.002910	0.000338	0.012362	0.001355
